date,files,code,comments,blanks,tests
2021-07-03,6,239,61,40,0
2021-07-04,6,405,62,84,0
2021-07-05,6,469,67,94,0
2021-07-06,6,477,68,97,0
2021-07-07,6,539,63,82,0
2021-07-10,6,549,63,83,0
2021-07-15,6,557,70,87,0
2021-07-16,6,559,71,87,0
2021-07-17,9,908,131,134,0
2021-07-18,9,945,116,110,0
2021-07-19,9,966,111,110,0
2021-07-20,9,976,111,110,0
2021-07-21,9,991,111,111,0
2021-07-23,9,984,125,114,0
2021-07-24,9,1009,117,115,0
2021-07-25,9,1022,148,126,0
2021-08-01,11,1054,150,128,0
2021-08-02,11,1045,154,136,0
2021-08-07,11,1049,153,136,0
2021-08-08,11,1084,155,136,0
2021-08-09,11,1072,155,145,0
2021-08-14,11,1106,158,153,0
2021-08-15,11,1115,160,139,0
2021-08-16,11,1543,188,190,0
2021-08-17,11,1539,195,186,0
2021-10-03,13,1374,177,166,0
2021-12-09,13,1358,179,166,0
2021-12-11,14,1392,174,171,0
2021-12-12,14,1415,174,171,0
2021-12-17,14,1424,175,170,0
2021-12-19,14,1464,176,177,0
2021-12-20,14,1472,185,181,0
2021-12-21,14,1475,180,182,0
2021-12-22,14,1481,184,183,0
2021-12-23,15,1501,208,187,0
2021-12-24,16,1517,192,196,0
2021-12-25,17,1527,199,198,0
2021-12-26,17,1598,211,202,0
2021-12-28,18,1604,222,209,0
2021-12-29,19,1594,218,210,0
2021-12-30,20,1624,264,217,0
2021-12-31,23,1702,266,241,0
2022-01-01,23,1701,267,241,0
2022-01-03,23,1733,258,230,0
2022-01-04,23,1733,258,230,0
2022-01-05,25,1759,281,253,0
2022-01-06,25,1787,279,254,0
2022-01-07,27,1875,307,267,0
2022-01-08,27,1934,309,275,0
2022-01-14,29,1975,314,278,0
2022-01-15,30,2239,385,303,0
2022-01-16,29,2242,359,314,0
2022-01-17,29,2203,409,305,0
2022-01-18,29,2203,357,302,0
2022-01-23,29,2285,356,308,0
2022-01-24,29,2319,354,303,0
2022-01-25,29,2360,361,304,0
2022-01-26,29,2360,361,304,0
2022-01-27,29,2362,361,304,0
2022-01-28,29,2364,361,304,0
2022-01-29,27,2071,339,276,0
2022-03-06,30,2306,406,312,0
2022-03-07,30,2313,406,312,0
2022-03-08,30,2324,396,313,0
2022-03-12,30,2347,392,314,0
2022-03-13,30,2350,392,315,0
2022-03-17,31,2380,391,319,0
2022-03-24,31,2394,393,322,0
2022-03-25,31,2404,396,326,0
2022-03-26,33,2518,419,340,0
2022-03-27,33,2533,413,341,0
2022-03-28,33,2536,410,338,0
2022-03-31,33,2580,410,341,0
2022-04-01,33,2582,410,341,0
2022-04-02,35,2677,423,350,0
2022-04-03,35,2692,423,350,0
2022-04-04,36,2707,429,353,0
2022-04-05,36,2715,426,355,0
2022-04-10,33,2730,439,357,0
2022-04-12,33,2762,439,357,0
2022-04-17,36,2730,439,357,0
2022-04-18,37,3084,445,362,0
2022-04-21,37,3101,445,362,0
2022-04-23,36,2961,439,363,0
2022-04-24,36,2941,439,364,0
2022-04-27,36,2952,439,361,0
2022-05-01,36,2937,400,367,0
2022-05-05,36,2927,399,365,0
2022-05-07,36,2955,399,365,0
2022-05-08,36,2931,399,364,0
2022-05-09,36,2932,403,365,0
2022-05-17,36,2940,403,367,0
2022-05-19,36,2952,407,368,0
2022-05-20,36,2949,404,368,0
2022-05-21,36,2949,404,368,0
2022-05-26,37,3014,411,374,0
2022-05-28,36,3023,417,377,0
2022-08-08,39,3079,423,384,0
2022-08-12,39,3083,423,384,0
2022-08-14,39,3084,423,384,0
2022-09-04,39,3104,423,382,0
2022-09-08,39,3123,422,385,0
2022-09-10,39,3135,422,386,0
2022-09-11,39,3163,423,387,0
2022-09-17,39,3069,423,381,0
2022-09-19,39,3069,423,381,0
2022-09-20,39,3161,449,389,0
2022-09-25,39,3185,459,388,0
2022-10-08,39,3297,457,403,0
2022-10-12,39,3302,458,403,0
2022-10-23,39,3319,458,403,0
2022-11-27,39,3221,413,384,0
2022-12-04,39,3273,428,378,0
2022-12-05,39,3282,428,379,0
2022-12-08,39,3249,434,381,0
2022-12-09,39,3255,434,381,0
2022-12-13,39,3238,436,380,0
2022-12-15,39,3244,436,381,0
2022-12-17,40,3243,434,383,0
2022-12-18,40,3260,434,383,0
2022-12-19,40,3262,435,383,0
2022-12-21,40,3275,434,383,0
2022-12-22,40,3281,434,385,0
2022-12-23,40,3278,436,387,0
2022-12-24,43,3339,455,398,0
2022-12-25,43,3410,475,411,0
2022-12-27,50,3464,518,432,0
2022-12-28,50,3400,488,410,0
2023-01-03,50,3427,485,413,0
2023-01-04,50,3449,486,415,0
2023-01-10,51,3457,492,418,0
2023-01-11,51,3460,492,418,0
2023-01-12,51,3504,508,434,0
2023-01-18,51,3512,509,438,0
2023-01-21,51,3515,511,438,0
2023-01-22,51,3539,511,443,0
2023-01-24,51,3545,508,443,0
2023-01-26,51,3534,508,443,0
2023-01-28,51,3564,510,447,0
2023-02-05,51,3646,526,468,0
2023-02-08,51,3656,527,468,0
2023-02-11,51,3697,529,470,0
2023-02-14,51,3700,529,470,0
2023-02-15,51,3707,529,470,0
2023-02-17,52,3707,540,475,0
2023-02-18,52,3716,544,475,0
2023-02-19,52,3724,544,476,0
2023-02-20,52,3726,544,476,0
2023-02-22,52,3726,544,477,0
2023-02-26,52,3746,549,489,0
2023-03-04,52,3750,562,489,0
2023-03-05,53,3778,564,484,0
2023-03-06,53,3809,570,483,0
2023-03-07,53,3823,564,485,0
2023-03-11,53,3853,564,482,0
2023-03-12,53,3865,564,485,0
2023-03-19,56,3889,564,487,0
2023-03-21,56,3889,564,487,0
2023-03-22,57,3895,570,489,0
2023-03-23,56,3888,560,483,0
2023-04-01,56,3852,560,486,0
2023-07-09,56,3899,559,486,0
2023-07-10,56,3890,571,488,0
2023-07-20,56,3904,568,487,0
2023-07-29,56,4012,563,453,0
2023-07-30,58,4027,572,472,0
2023-07-31,58,4054,572,472,0
2023-08-01,58,4049,571,472,0
2023-08-04,58,4073,564,475,0
2023-08-07,58,4063,564,474,0
2023-08-08,58,4068,564,474,0
2023-08-09,58,4062,564,472,0
2023-08-11,58,4055,564,472,0
2023-08-12,58,4060,564,473,0
2023-08-16,58,4088,585,481,0
2023-09-10,58,4084,585,481,0
2023-09-11,58,4105,587,484,0
2023-09-12,58,4107,587,484,0
2023-09-15,58,4107,589,484,0
2023-09-17,58,4126,594,485,0
2023-09-24,59,4158,598,485,0
2023-09-29,62,4278,624,502,0
2023-10-12,62,4300,629,504,0
2023-10-16,62,4321,625,505,0
2023-10-19,62,4353,625,505,0
2023-10-20,65,4322,665,524,0
2023-10-23,66,4343,672,529,0
2023-11-01,68,4481,686,538,0
2023-11-03,68,4464,695,550,0
2023-11-10,68,4470,700,554,0
2023-11-16,68,4491,695,558,0
2023-11-19,69,4600,704,553,0
2023-11-22,69,4608,701,552,0
2023-12-15,67,4586,672,537,0
2023-12-16,68,4665,680,546,0
2023-12-17,68,4678,680,549,0
2023-12-25,68,4785,688,551,0
2023-12-26,68,4809,693,555,0
2023-12-28,70,4937,729,582,0
2023-12-30,69,4949,701,568,0
2023-12-31,63,4661,647,537,0
2024-01-01,63,4637,653,536,0
2024-01-06,63,4697,640,543,0
2024-01-07,63,4706,647,546,0
2024-01-14,63,4722,646,544,0
2024-01-18,63,4702,655,544,0
2024-01-19,63,4724,643,545,0
2024-01-21,63,4738,640,544,0
2024-01-26,64,6028,740,565,0
2024-02-05,64,6008,742,564,0
2024-02-07,64,6007,742,565,0
2024-02-15,64,6021,742,565,0
2024-02-21,64,6026,741,566,0
2024-02-29,64,6052,741,565,0
2024-03-01,64,6052,741,565,0
2024-03-02,65,6125,756,582,0
2024-03-07,66,6205,770,594,0
2024-03-08,66,6212,769,596,0
2024-03-18,66,6236,769,598,0
2024-03-28,66,6278,768,595,0
2024-03-30,67,6293,774,601,0
2024-03-31,68,6321,779,607,0
2024-04-05,68,6401,745,588,0
2024-04-09,70,6419,775,604,0
2024-04-20,70,6457,755,575,0
2024-04-21,70,6456,755,575,0
2024-04-27,70,6472,793,580,0
2024-04-28,70,6468,794,581,0
2024-05-07,70,6474,790,581,0
2024-05-20,70,6437,790,579,0
2024-05-26,70,6426,793,586,0
2024-06-01,70,6332,830,618,0
2024-06-08,70,6371,834,625,0
2024-06-09,71,6424,844,634,0
2024-06-16,70,6437,853,632,0
2024-06-18,70,6494,836,639,0
2024-06-21,70,6467,841,648,0
2024-06-23,72,6538,870,683,0
2024-07-06,72,6516,854,683,0
2024-07-12,72,6541,849,688,0
2024-07-13,73,6670,919,716,0
2024-07-14,75,6649,948,715,0
2024-07-19,75,6750,922,709,0
2024-07-20,76,6830,940,717,0
2024-07-21,76,6897,960,731,0
2024-07-24,76,6923,966,733,0
2024-07-26,79,6934,978,737,0
2024-07-27,80,6702,968,721,0
2024-07-28,80,6706,964,717,0
2024-08-02,78,6711,963,707,0
2024-08-04,79,6761,971,717,0
2024-08-11,79,6767,971,719,0
2024-08-17,79,6768,971,719,0
2024-08-18,78,5467,885,700,0
2024-10-06,78,5475,885,700,0
2024-10-21,77,5376,878,696,0
2024-10-30,77,5379,878,696,0
2024-11-23,77,5392,878,698,0
2024-11-29,75,5169,817,679,0
2024-11-30,75,5188,828,683,0
2024-12-04,70,4970,769,648,0
2025-01-09,70,4980,766,644,0
2025-01-10,70,4955,765,642,0
2025-01-11,70,5024,796,667,0
2025-01-12,70,4980,726,664,0
2025-01-17,70,4980,726,664,0
2025-01-26,70,4958,765,642,0
2025-01-27,70,5082,741,673,0
2025-02-09,70,5037,704,652,0
2025-02-14,70,5069,696,649,0
2025-02-19,75,5073,708,653,0
2025-02-23,82,5831,803,743,9
2025-02-24,83,5928,802,737,12
2025-02-26,84,6120,814,750,14
2025-03-01,84,6195,814,764,14
2025-03-02,84,6204,814,763,14
2025-03-05,85,6351,828,777,15
2025-03-08,83,6336,816,782,15
2025-03-09,83,6406,830,801,17
2025-03-12,84,6617,840,823,19
2025-03-13,84,6643,840,823,19
2025-03-14,84,6677,842,826,20
2025-03-22,84,6755,849,849,22
2025-03-23,84,6809,845,845,22
2025-03-24,84,6865,853,851,22
2025-03-30,85,6848,855,856,22
2025-04-01,85,6850,855,856,22
2025-04-07,80,6442,809,829,23
2025-04-19,80,6491,809,829,23
2025-04-28,81,6486,829,844,23
2025-06-02,83,6564,842,863,23
2025-06-03,86,6894,862,890,23
2025-06-04,86,6555,856,913,23
2025-06-09,86,6645,868,924,23
2025-06-10,86,6664,869,929,23
2025-06-14,87,6711,879,941,23
2025-06-15,88,6708,883,946,23
2025-06-23,88,6718,884,948,23
2025-06-24,88,6707,907,948,23
2025-06-25,88,6727,884,951,23
2025-07-06,89,6764,893,962,23
2025-07-19,89,6781,894,964,23
2025-07-20,89,6781,894,964,23
2025-07-30,89,6791,893,967,23
2025-08-01,89,6859,896,973,23
2025-08-23,90,6959,977,968,23
2025-08-26,90,7046,939,986,24
2025-08-29,90,7177,905,958,24
2025-09-08,99,8630,979,1043,24
2025-09-13,101,8833,987,1056,31
2025-10-01,101,9036,999,1068,31
2025-10-19,101,9039,1000,1069,31
2025-10-24,101,9132,997,1033,31
2025-11-04,101,9132,997,1033,31
2025-11-11,103,9236,1011,1056,31
2025-11-12,103,9232,1012,1060,31
2025-11-14,103,9263,1032,1065,31
2025-11-15,104,9315,1051,1071,31
2025-11-28,104,9340,1082,1096,31
2025-12-13,108,9402,1110,1106,31
2025-12-21,109,9460,1117,1118,31
2025-12-24,111,9701,1150,1150,31
2025-12-25,112,9942,1160,1158,31
2025-12-28,112,10000,1167,1167,31
2026-01-03,112,10069,1209,1174,31
2026-01-04,113,10054,1214,1177,31
2026-01-06,114,10089,1209,1181,31
2026-01-09,115,10185,1223,1203,31
2026-01-10,116,10237,1229,1207,31
2026-01-24,117,10292,1236,1218,31
2026-01-30,119,10346,1243,1229,31
2026-01-31,119,10387,1243,1229,31
2026-02-02,119,10375,1251,1229,31
2026-02-06,120,10492,1276,1261,31
2026-02-14,120,10501,1276,1267,31
2026-02-18,119,10467,1284,1265,31
2026-03-15,121,10348,1303,1268,31
2026-03-16,125,10433,1327,1285,31
2026-03-19,125,10523,1326,1297,31
2026-03-22,126,10511,1331,1300,31
2026-03-24,131,10757,1360,1320,31
2026-03-25,133,10812,1371,1335,31
2026-03-26,129,10263,1345,1332,31
2026-03-29,129,10381,1368,1344,31
2026-04-01,129,10411,1403,1343,31
2026-04-02,130,10428,1423,1355,31
2026-04-03,132,10050,1456,1362,31
2026-04-06,132,10105,1499,1398,31
2026-04-08,132,10445,1539,1445,31
2026-04-09,132,10553,1541,1451,31
2026-04-13,137,10756,1622,1492,31
2026-04-15,135,10490,1588,1479,31
2026-04-29,135,10700,1725,1518,32
2026-07-02,143,11185,1971,1650,68
2026-07-03,143,11318,2041,1658,68
2026-07-04,144,11404,2082,1688,70
2026-07-10,153,11618,2215,1748,70
2026-07-11,152,10952,2514,2115,70
